date,regularite,trains_programmes,trains_circules,trains_annules,trains_retard
2014-01,91.448,8424,8382,42,796
2014-02,88.50399999999999,7604,7541,63,846
2014-03,91.28235294117647,8413,8377,36,781
2014-04,90.552,8254,8221,33,809
2014-05,91.27799999999999,8371,8326,45,750
2014-06,84.60600000000001,6388,6363,25,1041
2014-07,84.66242145462164,8624,8382,242,1332
2014-08,89.19506971031731,8321,8255,66,845
2014-09,89.32288183847913,8178,8093,85,961
2014-10,84.82324576879826,8715,8639,76,1376
2014-11,86.89310845028426,7597,7532,65,1073
2014-12,84.9308739029711,7899,7776,123,1205
2015-01,89.91947505138991,7361,7262,99,777
2015-02,89.4509040240616,6698,6582,116,746
2015-03,91.69509047679765,7442,7380,62,695
2015-04,88.2711410837077,7094,7000,94,730
2015-05,91.24512002970428,7216,7188,28,652
2015-06,83.27841822280901,7340,7280,60,1021
2015-07,82.53804620654073,7384,7293,91,1177
2015-08,87.5100433033857,7444,7384,60,946
2015-09,88.91929129445045,7548,7465,83,847
2015-10,83.62804829830158,7493,7435,58,976
2015-11,81.12224570178698,7071,6978,93,1171
2015-12,89.52484324447234,7670,7570,100,814
2016-01,89.42604311761643,7465,7380,85,789
2016-02,90.43272542581268,7220,7140,80,723
2016-03,87.18551060676386,7062,6992,70,925
2016-04,88.7513887910558,7338,7275,63,903
2016-05,84.2493536225796,6914,6838,76,1139
2016-06,76.82974758058455,4404,4348,56,1056
2016-07,84.27248079063249,8422,8334,88,1304
2016-08,86.6147395710664,8308,8221,87,1160
2016-09,86.40016121480154,8787,8694,93,1103
2016-10,81.73902516088671,8552,8488,64,1093
2016-11,71.0809215613503,8076,7936,140,1694
2016-12,82.0837277525704,8749,8671,78,1294
2017-01,81.88336248510772,8998,8894,104,1346
2017-02,85.30958877908039,7986,7918,68,956
2017-03,85.92221778503527,8926,8848,78,987
2017-04,87.35631530746114,8456,8383,73,1025
2017-05,80.07262301816843,8310,8229,81,1121
2017-06,73.05273334843312,8274,8181,93,1544
2017-07,74.07091750330028,8595,8508,87,1456
2017-08,76.38472107520695,8828,8751,77,1215
2017-09,78.40116391302944,8310,8225,85,1127
2017-10,76.02916601137429,8493,8418,75,1260
2017-11,72.86998827404325,8333,8215,118,1409
2017-12,75.90945763044938,6943,6820,123,1099
2018-01,86.18968533965817,6467,6289,178,862
2018-02,76.76688688034514,5668,5475,193,1107
2018-03,86.6496511647404,6353,6255,98,778
2018-04,85.5896695931837,3398,3372,26,641
